Downloading kernel from kernels-community/flash-attn3...
Warning: Failed to clone repository: Command '['git', 'clone', 'https://github.com/kernels-community/flash-attn3.git']' returned non-zero exit status 128.
Fallback: Using torch.nn.functional.scaled_dot_product_attention
Flash attention kernel loaded but missing flash_attn_func, using PyTorch FA2
Loading training dataset...
Dataset: loading cached dataset from /home/bimrose2/.cache/autoresearch/vision/dataset_cache.pt
Model config: {'image_size': 64, 'patch_size': 8, 'num_classes': 200, 'n_layer': 8, 'n_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  patch_embed             : 147,456
  head                    : 153,600
  transformer_matrices    : 56,623,872
  scalars                 : 16
  total                   : 56,924,944
Estimated FLOPs per forward pass: 3.556071e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1
Dataset size: 100000, samples/opt-step: 1024, steps/epoch: 98

step 00000 (0.0%) | loss: 5.3045 | lrm: 1.00 | dt: 4517ms | tok/sec: 14,508 | mfu: 1.4% | remaining: 300s    
step 00001 (0.0%) | loss: 94.2628 | lrm: 1.00 | dt: 416ms | tok/sec: 157,679 | mfu: 15.5% | remaining: 300s    
step 00002 (0.0%) | loss: 110.3745 | lrm: 1.00 | dt: 421ms | tok/sec: 155,814 | mfu: 15.3% | remaining: 300s    
step 00003 (0.0%) | loss: 138.6335 | lrm: 1.00 | dt: 410ms | tok/sec: 159,898 | mfu: 15.7% | remaining: 300s    
step 00004 (0.0%) | loss: 111.7197 | lrm: 1.00 | dt: 408ms | tok/sec: 160,745 | mfu: 15.8% | remaining: 300s    
step 00005 (0.0%) | loss: 172.5121 | lrm: 1.00 | dt: 409ms | tok/sec: 160,380 | mfu: 15.7% | remaining: 300s    
step 00006 (0.0%) | loss: 194.0320 | lrm: 1.00 | dt: 412ms | tok/sec: 158,907 | mfu: 15.6% | remaining: 300s    
step 00007 (0.0%) | loss: 170.3012 | lrm: 1.00 | dt: 411ms | tok/sec: 159,263 | mfu: 15.6% | remaining: 300s    
step 00008 (0.0%) | loss: 171.3086 | lrm: 1.00 | dt: 425ms | tok/sec: 154,070 | mfu: 15.1% | remaining: 300s    
step 00009 (0.0%) | loss: 191.8399 | lrm: 1.00 | dt: 412ms | tok/sec: 159,074 | mfu: 15.6% | remaining: 300s    
step 00010 (0.0%) | loss: 217.7482 | lrm: 1.00 | dt: 409ms | tok/sec: 160,119 | mfu: 15.7% | remaining: 300s    
step 00011 (0.0%) | loss: 220.7200 | lrm: 1.00 | dt: 409ms | tok/sec: 160,428 | mfu: 15.7% | remaining: 300s    
step 00012 (0.1%) | loss: 199.5064 | lrm: 1.00 | dt: 414ms | tok/sec: 158,339 | mfu: 15.5% | remaining: 299s    
step 00013 (0.3%) | loss: 186.6092 | lrm: 1.00 | dt: 423ms | tok/sec: 155,009 | mfu: 15.2% | remaining: 299s    
step 00014 (0.4%) | loss: 189.2299 | lrm: 1.00 | dt: 422ms | tok/sec: 155,254 | mfu: 15.2% | remaining: 298s    
step 00015 (0.6%) | loss: 184.1250 | lrm: 1.00 | dt: 415ms | tok/sec: 157,976 | mfu: 15.5% | remaining: 298s    
step 00016 (0.7%) | loss: 184.1232 | lrm: 1.00 | dt: 428ms | tok/sec: 153,063 | mfu: 15.0% | remaining: 297s    
step 00017 (0.8%) | loss: 169.4279 | lrm: 1.00 | dt: 427ms | tok/sec: 153,366 | mfu: 15.0% | remaining: 297s    
step 00018 (1.0%) | loss: 161.7407 | lrm: 1.00 | dt: 424ms | tok/sec: 154,738 | mfu: 15.2% | remaining: 297s    
step 00044 (4.6%) | loss: 27.0591 | lrm: 1.00 | dt: 421ms | tok/sec: 155,790 | mfu: 15.3% | remaining: 286s    
step 00045 (4.8%) | loss: 25.2575 | lrm: 1.00 | dt: 419ms | tok/sec: 156,550 | mfu: 15.4% | remaining: 285s    
step 00046 (4.9%) | loss: 23.5625 | lrm: 1.00 | dt: 418ms | tok/sec: 156,817 | mfu: 15.4% | remaining: 285s    
step 00047 (5.1%) | loss: 22.0091 | lrm: 1.00 | dt: 419ms | tok/sec: 156,307 | mfu: 15.3% | remaining: 284s    
step 00048 (5.2%) | loss: 20.6696 | lrm: 1.00 | dt: 422ms | tok/sec: 155,279 | mfu: 15.2% | remaining: 284s    
step 00049 (5.3%) | loss: 19.2584 | lrm: 1.00 | dt: 421ms | tok/sec: 155,505 | mfu: 15.3% | remaining: 284s    
step 00050 (5.5%) | loss: 17.9151 | lrm: 1.00 | dt: 419ms | tok/sec: 156,412 | mfu: 15.3% | remaining: 283s    
step 00051 (5.6%) | loss: 16.7409 | lrm: 1.00 | dt: 418ms | tok/sec: 156,777 | mfu: 15.4% | remaining: 283s    
step 00052 (5.8%) | loss: 15.7488 | lrm: 1.00 | dt: 418ms | tok/sec: 156,921 | mfu: 15.4% | remaining: 282s    
step 00053 (5.9%) | loss: 14.8145 | lrm: 1.00 | dt: 415ms | tok/sec: 158,017 | mfu: 15.5% | remaining: 282s    
step 00054 (6.0%) | loss: 14.0118 | lrm: 1.00 | dt: 416ms | tok/sec: 157,496 | mfu: 15.5% | remaining: 281s    
step 00055 (6.2%) | loss: 13.3074 | lrm: 1.00 | dt: 422ms | tok/sec: 155,302 | mfu: 15.2% | remaining: 281s    
step 00056 (6.3%) | loss: 12.6914 | lrm: 1.00 | dt: 415ms | tok/sec: 157,913 | mfu: 15.5% | remaining: 281s    
step 00057 (6.5%) | loss: 12.1516 | lrm: 1.00 | dt: 421ms | tok/sec: 155,597 | mfu: 15.3% | remaining: 280s    
step 00058 (6.6%) | loss: 11.6793 | lrm: 1.00 | dt: 416ms | tok/sec: 157,466 | mfu: 15.4% | remaining: 280s    
step 00059 (6.7%) | loss: 11.2105 | lrm: 1.00 | dt: 418ms | tok/sec: 156,705 | mfu: 15.4% | remaining: 279s    
step 00060 (6.9%) | loss: 10.8092 | lrm: 1.00 | dt: 417ms | tok/sec: 156,977 | mfu: 15.4% | remaining: 279s    
step 00061 (7.0%) | loss: 10.4998 | lrm: 1.00 | dt: 422ms | tok/sec: 155,471 | mfu: 15.3% | remaining: 279s    
step 00062 (7.2%) | loss: 10.1181 | lrm: 1.00 | dt: 416ms | tok/sec: 157,626 | mfu: 15.5% | remaining: 278s    
step 00063 (7.3%) | loss: 9.7986 | lrm: 1.00 | dt: 419ms | tok/sec: 156,470 | mfu: 15.3% | remaining: 278s    
step 00064 (7.4%) | loss: 9.4444 | lrm: 1.00 | dt: 416ms | tok/sec: 157,602 | mfu: 15.5% | remaining: 277s    
step 00065 (7.6%) | loss: 9.1697 | lrm: 1.00 | dt: 419ms | tok/sec: 156,317 | mfu: 15.3% | remaining: 277s    
step 00066 (7.7%) | loss: 8.8741 | lrm: 1.00 | dt: 426ms | tok/sec: 153,947 | mfu: 15.1% | remaining: 276s    
step 00067 (7.9%) | loss: 8.6983 | lrm: 1.00 | dt: 424ms | tok/sec: 154,498 | mfu: 15.2% | remaining: 276s    
step 00068 (8.0%) | loss: 8.4258 | lrm: 1.00 | dt: 421ms | tok/sec: 155,652 | mfu: 15.3% | remaining: 276s    
step 00069 (8.1%) | loss: 8.2190 | lrm: 1.00 | dt: 421ms | tok/sec: 155,692 | mfu: 15.3% | remaining: 275s    
step 00070 (8.3%) | loss: 7.9872 | lrm: 1.00 | dt: 422ms | tok/sec: 155,172 | mfu: 15.2% | remaining: 275s    
step 00071 (8.4%) | loss: 7.7825 | lrm: 1.00 | dt: 420ms | tok/sec: 156,140 | mfu: 15.3% | remaining: 274s    
step 00072 (8.6%) | loss: 7.5944 | lrm: 1.00 | dt: 417ms | tok/sec: 157,192 | mfu: 15.4% | remaining: 274s    
step 00073 (8.7%) | loss: 7.4088 | lrm: 1.00 | dt: 422ms | tok/sec: 155,164 | mfu: 15.2% | remaining: 273s    
step 00074 (8.8%) | loss: 7.2245 | lrm: 1.00 | dt: 420ms | tok/sec: 155,993 | mfu: 15.3% | remaining: 273s    
step 00075 (9.0%) | loss: 7.0877 | lrm: 1.00 | dt: 417ms | tok/sec: 157,188 | mfu: 15.4% | remaining: 273s    
step 00076 (9.1%) | loss: 6.9764 | lrm: 1.00 | dt: 422ms | tok/sec: 155,316 | mfu: 15.2% | remaining: 272s    
step 00077 (9.3%) | loss: 6.8275 | lrm: 1.00 | dt: 419ms | tok/sec: 156,233 | mfu: 15.3% | remaining: 272s    
step 00078 (9.4%) | loss: 6.7169 | lrm: 1.00 | dt: 420ms | tok/sec: 155,952 | mfu: 15.3% | remaining: 271s    
step 00079 (9.5%) | loss: 6.6385 | lrm: 1.00 | dt: 420ms | tok/sec: 155,893 | mfu: 15.3% | remaining: 271s    
step 00080 (9.7%) | loss: 6.5330 | lrm: 1.00 | dt: 420ms | tok/sec: 156,072 | mfu: 15.3% | remaining: 271s    
step 00081 (9.8%) | loss: 6.4280 | lrm: 1.00 | dt: 425ms | tok/sec: 154,162 | mfu: 15.1% | remaining: 270s    
step 00082 (10.0%) | loss: 6.3717 | lrm: 1.00 | dt: 420ms | tok/sec: 155,910 | mfu: 15.3% | remaining: 270s    
step 00083 (10.1%) | loss: 6.2745 | lrm: 1.00 | dt: 419ms | tok/sec: 156,258 | mfu: 15.3% | remaining: 269s    
step 00084 (10.2%) | loss: 6.1883 | lrm: 1.00 | dt: 420ms | tok/sec: 156,184 | mfu: 15.3% | remaining: 269s    
step 00085 (10.4%) | loss: 6.0935 | lrm: 1.00 | dt: 428ms | tok/sec: 153,257 | mfu: 15.0% | remaining: 268s    
step 00086 (10.5%) | loss: 6.0279 | lrm: 1.00 | dt: 418ms | tok/sec: 156,819 | mfu: 15.4% | remaining: 268s    
step 00087 (10.7%) | loss: 5.9942 | lrm: 1.00 | dt: 426ms | tok/sec: 153,808 | mfu: 15.1% | remaining: 268s    
step 00088 (10.8%) | loss: 5.9175 | lrm: 1.00 | dt: 418ms | tok/sec: 156,615 | mfu: 15.4% | remaining: 267s    
step 00089 (10.9%) | loss: 5.8476 | lrm: 1.00 | dt: 417ms | tok/sec: 157,131 | mfu: 15.4% | remaining: 267s    
step 00090 (11.1%) | loss: 5.7715 | lrm: 1.00 | dt: 423ms | tok/sec: 154,994 | mfu: 15.2% | remaining: 266s    
step 00091 (11.2%) | loss: 5.7492 | lrm: 1.00 | dt: 420ms | tok/sec: 155,938 | mfu: 15.3% | remaining: 266s    
step 00092 (11.4%) | loss: 5.7231 | lrm: 1.00 | dt: 424ms | tok/sec: 154,430 | mfu: 15.1% | remaining: 265s    
step 00093 (11.5%) | loss: 5.6618 | lrm: 1.00 | dt: 423ms | tok/sec: 155,098 | mfu: 15.2% | remaining: 265s    
step 00094 (11.6%) | loss: 5.6201 | lrm: 1.00 | dt: 421ms | tok/sec: 155,741 | mfu: 15.3% | remaining: 265s    
step 00095 (11.8%) | loss: 5.5713 | lrm: 1.00 | dt: 422ms | tok/sec: 155,118 | mfu: 15.2% | remaining: 264s    
step 00096 (11.9%) | loss: 5.5215 | lrm: 1.00 | dt: 421ms | tok/sec: 155,843 | mfu: 15.3% | remaining: 264s    
step 00097 (12.1%) | loss: 5.5126 | lrm: 1.00 | dt: 502ms | tok/sec: 130,612 | mfu: 12.8% | remaining: 263s    
step 00098 (12.2%) | loss: 5.4836 | lrm: 1.00 | dt: 424ms | tok/sec: 154,510 | mfu: 15.2% | remaining: 263s    
step 00099 (12.4%) | loss: 5.4371 | lrm: 1.00 | dt: 427ms | tok/sec: 153,628 | mfu: 15.1% | remaining: 262s    
step 00100 (12.5%) | loss: 5.4024 | lrm: 1.00 | dt: 426ms | tok/sec: 153,978 | mfu: 15.1% | remaining: 262s    
step 00101 (12.7%) | loss: 5.3635 | lrm: 1.00 | dt: 425ms | tok/sec: 154,120 | mfu: 15.1% | remaining: 262s    
step 00102 (12.8%) | loss: 5.3419 | lrm: 1.00 | dt: 428ms | tok/sec: 152,945 | mfu: 15.0% | remaining: 261s    
step 00103 (12.9%) | loss: 5.3202 | lrm: 1.00 | dt: 428ms | tok/sec: 153,126 | mfu: 15.0% | remaining: 261s    
step 00104 (13.1%) | loss: 5.2814 | lrm: 1.00 | dt: 427ms | tok/sec: 153,600 | mfu: 15.1% | remaining: 260s    
step 00105 (13.2%) | loss: 5.2432 | lrm: 1.00 | dt: 423ms | tok/sec: 154,773 | mfu: 15.2% | remaining: 260s    
step 00106 (13.4%) | loss: 5.2062 | lrm: 1.00 | dt: 429ms | tok/sec: 152,918 | mfu: 15.0% | remaining: 259s    
step 00107 (13.5%) | loss: 5.1765 | lrm: 1.00 | dt: 424ms | tok/sec: 154,642 | mfu: 15.2% | remaining: 259s    
step 00108 (13.7%) | loss: 5.1809 | lrm: 1.00 | dt: 423ms | tok/sec: 154,774 | mfu: 15.2% | remaining: 259s    
step 00109 (13.8%) | loss: 5.1777 | lrm: 1.00 | dt: 425ms | tok/sec: 154,191 | mfu: 15.1% | remaining: 258s    
step 00110 (13.9%) | loss: 5.1558 | lrm: 1.00 | dt: 422ms | tok/sec: 155,417 | mfu: 15.2% | remaining: 258s    
step 00111 (14.1%) | loss: 5.1464 | lrm: 1.00 | dt: 426ms | tok/sec: 153,939 | mfu: 15.1% | remaining: 257s    
step 00112 (14.2%) | loss: 5.1290 | lrm: 1.00 | dt: 428ms | tok/sec: 153,069 | mfu: 15.0% | remaining: 257s    
step 00113 (14.4%) | loss: 5.1059 | lrm: 1.00 | dt: 419ms | tok/sec: 156,253 | mfu: 15.3% | remaining: 256s    
step 00114 (14.5%) | loss: 5.1322 | lrm: 1.00 | dt: 424ms | tok/sec: 154,625 | mfu: 15.2% | remaining: 256s    
step 00115 (14.6%) | loss: 5.1554 | lrm: 1.00 | dt: 430ms | tok/sec: 152,337 | mfu: 14.9% | remaining: 256s    
step 00116 (14.8%) | loss: 5.1386 | lrm: 1.00 | dt: 430ms | tok/sec: 152,571 | mfu: 15.0% | remaining: 255s    
step 00117 (14.9%) | loss: 5.1233 | lrm: 1.00 | dt: 428ms | tok/sec: 153,262 | mfu: 15.0% | remaining: 255s    
step 00118 (15.1%) | loss: 5.1093 | lrm: 1.00 | dt: 424ms | tok/sec: 154,394 | mfu: 15.1% | remaining: 254s    
step 00119 (15.2%) | loss: 5.1169 | lrm: 1.00 | dt: 428ms | tok/sec: 153,190 | mfu: 15.0% | remaining: 254s    
step 00120 (15.4%) | loss: 5.0915 | lrm: 1.00 | dt: 427ms | tok/sec: 153,386 | mfu: 15.0% | remaining: 254s    
step 00121 (15.5%) | loss: 5.0611 | lrm: 1.00 | dt: 425ms | tok/sec: 154,319 | mfu: 15.1% | remaining: 253s    
step 00122 (15.6%) | loss: 5.0543 | lrm: 1.00 | dt: 430ms | tok/sec: 152,500 | mfu: 15.0% | remaining: 253s    
step 00123 (15.8%) | loss: 5.0490 | lrm: 1.00 | dt: 425ms | tok/sec: 154,085 | mfu: 15.1% | remaining: 252s    
step 00124 (15.9%) | loss: 5.0311 | lrm: 1.00 | dt: 429ms | tok/sec: 152,859 | mfu: 15.0% | remaining: 252s    
step 00125 (16.1%) | loss: 5.0410 | lrm: 1.00 | dt: 427ms | tok/sec: 153,650 | mfu: 15.1% | remaining: 251s    
step 00126 (16.2%) | loss: 5.0500 | lrm: 1.00 | dt: 424ms | tok/sec: 154,422 | mfu: 15.1% | remaining: 251s    
step 00127 (16.4%) | loss: 5.0632 | lrm: 1.00 | dt: 432ms | tok/sec: 151,622 | mfu: 14.9% | remaining: 251s    
step 00128 (16.5%) | loss: 5.1054 | lrm: 1.00 | dt: 427ms | tok/sec: 153,536 | mfu: 15.1% | remaining: 250s    
step 00129 (16.6%) | loss: 5.1346 | lrm: 1.00 | dt: 428ms | tok/sec: 153,089 | mfu: 15.0% | remaining: 250s    
step 00130 (16.8%) | loss: 5.1616 | lrm: 1.00 | dt: 428ms | tok/sec: 153,064 | mfu: 15.0% | remaining: 249s    
step 00131 (16.9%) | loss: 5.1593 | lrm: 1.00 | dt: 428ms | tok/sec: 153,259 | mfu: 15.0% | remaining: 249s    
step 00132 (17.1%) | loss: 5.1453 | lrm: 1.00 | dt: 425ms | tok/sec: 154,292 | mfu: 15.1% | remaining: 248s    
step 00133 (17.2%) | loss: 5.1679 | lrm: 1.00 | dt: 431ms | tok/sec: 151,950 | mfu: 14.9% | remaining: 248s    
step 00134 (17.4%) | loss: 5.1855 | lrm: 1.00 | dt: 430ms | tok/sec: 152,554 | mfu: 15.0% | remaining: 248s    
step 00135 (17.5%) | loss: 5.2041 | lrm: 1.00 | dt: 427ms | tok/sec: 153,317 | mfu: 15.0% | remaining: 247s    
step 00136 (17.6%) | loss: 5.2677 | lrm: 1.00 | dt: 430ms | tok/sec: 152,440 | mfu: 15.0% | remaining: 247s    
step 00137 (17.8%) | loss: 5.2796 | lrm: 1.00 | dt: 435ms | tok/sec: 150,634 | mfu: 14.8% | remaining: 246s    
step 00138 (17.9%) | loss: 5.3482 | lrm: 1.00 | dt: 433ms | tok/sec: 151,196 | mfu: 14.8% | remaining: 246s    
step 00139 (18.1%) | loss: 5.3335 | lrm: 1.00 | dt: 435ms | tok/sec: 150,815 | mfu: 14.8% | remaining: 245s    
step 00140 (18.2%) | loss: 5.4579 | lrm: 1.00 | dt: 430ms | tok/sec: 152,324 | mfu: 14.9% | remaining: 245s    
step 00141 (18.4%) | loss: 6.5962 | lrm: 1.00 | dt: 431ms | tok/sec: 151,893 | mfu: 14.9% | remaining: 244s    
step 00142 (18.5%) | loss: 7.0260 | lrm: 1.00 | dt: 434ms | tok/sec: 150,893 | mfu: 14.8% | remaining: 244s    
step 00143 (18.6%) | loss: 12.8248 | lrm: 1.00 | dt: 437ms | tok/sec: 150,031 | mfu: 14.7% | remaining: 244s    
step 00144 (18.8%) | loss: 12.9274 | lrm: 1.00 | dt: 428ms | tok/sec: 153,213 | mfu: 15.0% | remaining: 243s    
step 00145 (18.9%) | loss: 16.5222 | lrm: 1.00 | dt: 436ms | tok/sec: 150,245 | mfu: 14.7% | remaining: 243s    
step 00146 (19.1%) | loss: 17.6172 | lrm: 1.00 | dt: 436ms | tok/sec: 150,266 | mfu: 14.7% | remaining: 242s    
step 00147 (19.2%) | loss: 16.9947 | lrm: 1.00 | dt: 435ms | tok/sec: 150,538 | mfu: 14.8% | remaining: 242s    
step 00148 (19.4%) | loss: 24.6220 | lrm: 1.00 | dt: 441ms | tok/sec: 148,717 | mfu: 14.6% | remaining: 241s    
step 00149 (19.5%) | loss: 27.4771 | lrm: 1.00 | dt: 443ms | tok/sec: 147,915 | mfu: 14.5% | remaining: 241s    
step 00150 (19.7%) | loss: 28.0109 | lrm: 1.00 | dt: 436ms | tok/sec: 150,241 | mfu: 14.7% | remaining: 241s    
step 00151 (19.8%) | loss: 29.8245 | lrm: 1.00 | dt: 439ms | tok/sec: 149,185 | mfu: 14.6% | remaining: 240s    
step 00152 (20.0%) | loss: 30.1149 | lrm: 1.00 | dt: 430ms | tok/sec: 152,272 | mfu: 14.9% | remaining: 240s    
step 00153 (20.1%) | loss: 28.5162 | lrm: 1.00 | dt: 437ms | tok/sec: 150,079 | mfu: 14.7% | remaining: 239s    
step 00154 (20.2%) | loss: 28.7815 | lrm: 1.00 | dt: 440ms | tok/sec: 149,015 | mfu: 14.6% | remaining: 239s    
step 00155 (20.4%) | loss: 28.7622 | lrm: 1.00 | dt: 432ms | tok/sec: 151,789 | mfu: 14.9% | remaining: 238s    
step 00156 (20.5%) | loss: 27.0809 | lrm: 1.00 | dt: 432ms | tok/sec: 151,723 | mfu: 14.9% | remaining: 238s    
step 00157 (20.7%) | loss: 27.4203 | lrm: 1.00 | dt: 434ms | tok/sec: 151,032 | mfu: 14.8% | remaining: 238s    
step 00158 (20.8%) | loss: 26.3657 | lrm: 1.00 | dt: 434ms | tok/sec: 150,970 | mfu: 14.8% | remaining: 237s    
step 00159 (21.0%) | loss: 25.1017 | lrm: 1.00 | dt: 441ms | tok/sec: 148,621 | mfu: 14.6% | remaining: 237s    
step 00160 (21.1%) | loss: 24.6375 | lrm: 1.00 | dt: 432ms | tok/sec: 151,758 | mfu: 14.9% | remaining: 236s    
step 00161 (21.3%) | loss: 23.2958 | lrm: 1.00 | dt: 435ms | tok/sec: 150,602 | mfu: 14.8% | remaining: 236s    
step 00162 (21.4%) | loss: 22.3581 | lrm: 1.00 | dt: 430ms | tok/sec: 152,294 | mfu: 14.9% | remaining: 235s    
step 00163 (21.6%) | loss: 21.3214 | lrm: 1.00 | dt: 438ms | tok/sec: 149,643 | mfu: 14.7% | remaining: 235s    
step 00164 (21.7%) | loss: 20.1652 | lrm: 1.00 | dt: 433ms | tok/sec: 151,344 | mfu: 14.8% | remaining: 234s    
